mode,case_id,shape,backend,warmup,iters,median_ms,p95_ms,min_ms,max_ms
varlen,"B=16,total_tokens=8192,H=4,D=64,mask_p=0.0","B=16,total_tokens=8192,H=4,D=64,mask_p=0.0",fla,20,100,0.071168,0.071842,0.070272,0.072800
varlen,"B=16,total_tokens=8192,H=4,D=64,mask_p=0.0","B=16,total_tokens=8192,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.286432,0.287778,0.285312,0.289728
varlen,"B=32,total_tokens=8192,H=4,D=64,mask_p=0.0","B=32,total_tokens=8192,H=4,D=64,mask_p=0.0",fla,20,100,0.070784,0.071331,0.070112,0.072896
varlen,"B=32,total_tokens=8192,H=4,D=64,mask_p=0.0","B=32,total_tokens=8192,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.280480,0.281382,0.278848,0.283328
varlen,"B=64,total_tokens=8192,H=4,D=64,mask_p=0.0","B=64,total_tokens=8192,H=4,D=64,mask_p=0.0",fla,20,100,0.072480,0.073224,0.071744,0.074304
varlen,"B=64,total_tokens=8192,H=4,D=64,mask_p=0.0","B=64,total_tokens=8192,H=4,D=64,mask_p=0.0",gdn_cuda,20,100,0.282464,0.283106,0.280704,0.284128
varlen,"B=32,total_tokens=4096,H=4,D=128,mask_p=0.0","B=32,total_tokens=4096,H=4,D=128,mask_p=0.0",fla,20,100,0.061536,0.062181,0.060384,0.063648
varlen,"B=32,total_tokens=4096,H=4,D=128,mask_p=0.0","B=32,total_tokens=4096,H=4,D=128,mask_p=0.0",gdn_cuda,20,100,0.181888,0.182853,0.180832,0.185408
varlen,"B=64,total_tokens=6656,H=4,D=128,mask_p=0.0","B=64,total_tokens=6656,H=4,D=128,mask_p=0.0",fla,20,100,0.115328,0.116552,0.114208,0.117952
varlen,"B=64,total_tokens=6656,H=4,D=128,mask_p=0.0","B=64,total_tokens=6656,H=4,D=128,mask_p=0.0",gdn_cuda,20,100,0.337408,0.339778,0.336224,0.340832
varlen,"B=128,total_tokens=4608,H=4,D=64,mask_p=0.5","B=128,total_tokens=4608,H=4,D=64,mask_p=0.5",fla,20,100,0.068544,0.069250,0.067040,0.071200
varlen,"B=128,total_tokens=4608,H=4,D=64,mask_p=0.5","B=128,total_tokens=4608,H=4,D=64,mask_p=0.5",gdn_cuda,20,100,0.279520,0.280706,0.277632,0.281856
